iter	Passed	Remaining
402	13450	86674
403	13478	86606
404	13505	86534
405	13535	86480
406	13563	86410
407	13590	86338
408	13618	86271
409	13644	86190
410	13671	86118
411	13703	86078
412	13728	85994
413	13755	85921
414	13785	85865
415	13819	85839
416	13847	85776
417	13877	85724
418	13904	85652
419	13933	85594
420	13961	85526
421	13988	85457
422	14018	85403
423	14046	85339
424	14075	85283
425	14105	85229
426	14134	85173
427	14161	85103
428	14191	85047
429	14220	84993
430	14250	84940
431	14278	84877
432	14307	84822
433	14335	84757
434	14367	84717
435	14402	84694
436	14434	84657
437	14468	84629
438	14507	84633
439	14534	84566
440	14563	84506
441	14593	84456
442	14626	84422
443	14650	84339
444	14678	84280
445	14709	84235
446	14744	84209
447	14783	84210
448	14821	84206
449	14848	84142
450	14877	84086
451	14909	84045
452	14936	83981
453	14962	83907
454	14993	83865
455	15022	83812
456	15052	83761
457	15083	83719
458	15116	83685
459	15155	83682
460	15186	83639
461	15211	83565
462	15240	83509
463	15267	83444
464	15295	83386
465	15324	83331
466	15356	83295
467	15393	83280
468	15424	83238
469	15469	83274
470	15510	83280
471	15547	83271
472	15586	83269
473	15619	83240
474	15654	83215
475	15686	83179
476	15719	83144
477	15749	83094
478	15782	83062
479	15808	82995
480	15833	82921
481	15862	82867
482	15890	82805
483	15915	82735
484	15944	82680
485	15971	82617
486	15998	82554
487	16026	82496
488	16051	82422
489	16078	82360
490	16105	82299
491	16134	82247
492	16160	82177
493	16186	82113
494	16213	82048
495	16240	81986
496	16265	81915
497	16292	81857
498	16320	81796
499	16345	81725
500	16372	81665
501	16397	81594
502	16422	81526
503	16451	81475
504	16479	81417
505	16504	81350
506	16530	81282
507	16559	81230
508	16586	81172
509	16650	81294
510	16708	81386
511	16750	81398
512	16789	81394
513	16820	81355
514	16852	81319
515	16888	81300
516	16922	81273
517	16955	81241
518	16995	81243
519	17023	81190
520	17063	81189
521	17096	81158
522	17139	81176
523	17179	81174
524	17220	81184
525	17267	81217
526	17303	81200
527	17334	81159
528	17365	81115
529	17398	81082
530	17430	81048
531	17466	81027
532	17502	81009
533	17532	80964
534	17563	80924
535	17596	80891
536	17626	80844
537	17665	80838
538	17706	80843
539	17739	80811
540	17778	80809
541	17814	80790
542	17856	80796
543	17884	80743
544	17911	80684
545	17941	80637
546	17968	80577
547	17996	80523
548	18025	80473
549	18053	80421
550	18081	80364
551	18108	80305
552	18136	80254
553	18164	80197
554	18189	80131
555	18215	80069
556	18241	80008
557	18272	79967
558	18305	79936
559	18333	79881
560	18357	79809
561	18384	79755
562	18412	79701
563	18439	79641
564	18466	79586
565	18490	79517
566	18519	79465
567	18548	79418
568	18572	79350
569	18601	79301
570	18631	79255
571	18661	79215
572	18690	79167
573	18722	79132
574	18753	79092
575	18782	79041
576	18807	78980
577	18837	78936
578	18866	78886
579	18894	78837
580	18923	78786
581	18953	78744
582	18989	78728
583	19029	78723
584	19060	78685
585	19096	78668
586	19141	78685
587	19173	78652
588	19203	78608
589	19239	78588
590	19275	78568
591	19308	78540
592	19338	78497
593	19373	78470
594	19401	78421
595	19428	78366
596	19458	78323
597	19487	78277
598	19512	78213
599	19548	78192
600	19576	78142
601	19606	78101
602	19635	78055
603	19661	77994
604	19689	77942
605	19716	77889
606	19746	77846
607	19772	77789
608	19798	77732
609	19823	77670
610	19852	77621
611	19884	77588
612	19918	77562
613	19957	77553
614	19994	77541
615	20028	77511
616	20060	77478
617	20089	77431
618	20119	77388
619	20146	77336
620	20173	77281
621	20202	77235
622	20236	77208
623	20268	77176
624	20300	77141
625	20331	77103
626	20365	77076
627	20394	77033
628	20428	77005
629	20460	76969
630	20493	76940
631	20522	76892
632	20549	76843
633	20578	76797
634	20607	76749
635	20635	76700
636	20670	76677
637	20697	76624
638	20725	76578
639	20761	76559
640	20797	76537
641	20830	76506
642	20861	76470
643	20891	76427
644	20922	76390
645	20952	76351
646	20981	76304
647	21008	76253
648	21037	76207
649	21067	76166
650	21100	76136
651	21126	76081
652	21155	76036
653	21186	75999
654	21221	75976
655	21257	75955
656	21357	76166
657	21417	76230
658	21486	76326
659	21537	76358
660	21591	76403
661	21653	76474
662	21697	76480
663	21747	76510
664	21814	76596
665	21866	76631
666	21911	76642
667	21949	76627
668	21986	76606
669	22025	76596
670	22063	76582
671	22098	76554
672	22136	76538
673	22176	76530
674	22223	76546
675	22262	76535
676	22309	76549
677	22346	76533
678	22388	76530
679	22431	76532
680	22479	76548
681	22517	76534
682	22559	76530
683	22718	76925
684	22798	77048
685	22842	77051
686	22900	77102
687	22946	77109
688	22996	77134
689	23047	77157
690	23099	77188
691	23143	77188
692	23178	77159
693	23220	77155
694	23257	77133
695	23302	77138
696	23341	77122
697	23378	77102
698	23408	77055
699	23439	77013
700	23470	76974
701	23503	76939
702	23544	76929
703	23573	76882
704	23604	76839
705	23634	76796
706	23667	76761
707	23705	76740
708	23736	76699
709	23774	76681
710	23803	76633
711	23836	76596
712	23869	76562
713	23901	76525
714	23946	76529
715	24007	76582
716	24065	76626
717	24113	76637
718	24172	76687
719	24226	76717
720	24270	76717
721	24311	76705
722	24355	76704
723	24393	76683
724	24437	76682
725	24478	76671
726	24524	76677
727	24573	76691
728	24614	76680
729	24655	76668
730	24704	76682
731	24733	76634
732	24766	76596
733	24797	76554
734	24829	76514
735	24863	76481
736	24897	76448
737	24937	76433
738	24972	76405
739	25012	76388
740	25025	76293
741	25061	76265
742	25098	76241
743	25127	76193
744	25155	76142
745	25182	76086
746	25208	76031
747	25233	75969
748	25258	75910
749	25284	75852
750	25313	75805
751	25337	75743
752	25362	75684
753	25389	75629
754	25413	75566
755	25445	75530
756	25475	75482
757	25498	75419
758	25524	75364
759	25553	75314
760	25577	75253
761	25602	75195
762	25630	75143
763	25656	75089
764	25685	75042
765	25712	74990
766	25740	74938
767	25768	74889
768	25795	74837
769	25820	74779
770	25847	74727
771	25876	74679
772	25901	74622
773	25927	74567
774	25958	74525
775	25986	74478
776	26010	74415
777	26037	74364
778	26066	74317
779	26091	74260
780	26115	74201
781	26144	74153
782	26173	74106
783	26201	74059
784	26225	73999
785	26255	73955
786	26285	73912
787	26311	73858
788	26337	73804
789	26364	73753
790	26388	73695
791	26426	73673
792	26463	73649
793	26527	73702
794	26566	73685
795	26608	73675
796	26649	73663
797	26709	73701
798	26761	73720
799	26814	73739
800	26868	73762
801	26914	73762
802	26957	73756
803	26996	73737
804	27041	73733
805	27073	73696
806	27110	73671
807	27150	73654
808	27186	73629
809	27227	73614
810	27269	73604
811	27306	73578
812	27340	73546
813	27378	73524
814	27412	73492
815	27451	73474
816	27492	73458
817	27536	73453
818	27577	73439
819	27614	73414
820	27644	73371
821	27680	73343
822	27709	73296
823	27739	73253
824	27767	73204
825	27797	73160
826	27835	73139
827	27875	73122
828	27916	73109
829	27982	73159
830	28019	73134
831	28056	73108
832	28091	73078
833	28126	73047
834	28182	73072
835	28225	73062
836	28268	73053
837	28317	73057
838	28361	73050
839	28405	73043
840	28434	72997
841	28459	72940
842	28484	72884
843	28512	72834
844	28541	72789
845	28567	72735
846	28595	72686
847	28627	72648
848	28659	72611
849	28689	72567
850	28722	72533
851	28752	72488
852	28781	72442
853	28809	72395
854	28839	72352
855	28871	72314
856	28902	72272
857	28933	72232
858	28965	72195
859	28995	72152
860	29024	72105
861	29056	72068
862	29090	72036
863	29123	71999
864	29150	71950
865	29173	71890
866	29204	71849
867	29231	71798
868	29258	71748
869	29285	71697
870	29312	71647
871	29339	71598
872	29369	71555
873	29396	71506
874	29421	71452
875	29450	71407
876	29479	71362
877	29504	71308
878	29530	71256
879	29557	71207
880	29585	71160
881	29615	71117
882	29645	71075
883	29676	71036
884	29714	71013
885	29743	70967
886	29774	70928
887	29800	70877
888	29829	70831
889	29857	70784
890	29883	70735
891	29911	70688
892	29939	70642
893	29964	70587
894	29993	70544
895	30019	70492
896	30047	70445
897	30074	70397
898	30100	70345
899	30125	70293
900	30153	70245
901	30178	70192
902	30209	70153
903	30237	70109
904	30264	70059
905	30290	70008
906	30320	69966
907	30346	69916
908	30372	69866
909	30396	69812
910	30422	69760
911	30446	69707
912	30473	69659
913	30503	69617
914	30528	69564
915	30552	69509
916	30577	69457
917	30607	69417
918	30637	69375
919	30661	69321
920	30686	69268
921	30713	69222
922	30738	69169
923	30767	69126
924	30801	69095
925	30836	69065
926	30885	69067
927	30919	69034
928	30947	68991
929	30975	68944
930	30999	68890
931	31023	68838
932	31045	68779
933	31067	68721
934	31091	68666
935	31119	68622
936	31146	68576
937	31169	68519
938	31194	68467
939	31218	68415
940	31244	68365
941	31276	68330
942	31303	68283
943	31329	68233
944	31359	68195
945	31390	68156
946	31419	68114
947	31457	68091
948	31494	68066
949	31523	68023
950	31554	67985
951	31583	67944
952	31612	67902
953	31643	67865
954	31677	67832
955	31713	67806
956	31742	67762
957	31774	67728
958	31803	67686
959	31826	67631
960	31861	67601
961	31893	67565
962	31921	67523
963	31949	67478
964	31980	67441
965	32011	67403
966	32038	67357
967	32069	67319
968	32110	67302
969	32139	67261
970	32167	67217
971	32198	67178
972	32225	67134
973	32252	67087
974	32282	67049
975	32312	67008
976	32344	66972
977	32371	66926
978	32399	66882
979	32426	66837
980	32451	66788
981	32480	66747
982	32519	66726
983	32546	66681
984	32573	66634
985	32603	66595
986	32637	66564
987	32663	66517
988	32690	66472
989	32717	66425
990	32743	66380
991	32770	66333
992	32794	66282
993	32822	66238
994	32848	66193
995	32875	66147
996	32908	66113
997	32941	66081
998	32966	66031
999	32991	65983
1000	33015	65932
1001	33043	65889
1002	33071	65846
1003	33098	65800
1004	33124	65753
1005	33149	65705
1006	33174	65657
1007	33202	65614
1008	33227	65565
1009	33255	65524
1010	33281	65477
1011	33316	65448
1012	33355	65426
1013	33381	65380
1014	33406	65331
1015	33433	65287
1016	33462	65246
1017	33489	65202
1018	33516	65158
1019	33542	65111
1020	33570	65069
1021	33602	65035
1022	33632	64996
1023	33667	64967
1024	33705	64944
1025	33736	64909
1026	33773	64883
1027	33808	64855
1028	33837	64813
1029	33867	64775
1030	33895	64734
1031	33927	64699
1032	33952	64651
1033	33990	64628
1034	34017	64584
1035	34047	64545
1036	34075	64503
1037	34105	64465
1038	34132	64420
1039	34165	64388
1040	34193	64347
1041	34217	64297
1042	34242	64250
1043	34274	64215
1044	34308	64184
1045	34336	64142
1046	34364	64101
1047	34405	64082
1048	34448	64068
1049	34489	64052
1050	34524	64023
1051	34565	64005
1052	34596	63968
1053	34629	63936
1054	34669	63916
1055	34704	63887
1056	34736	63854
1057	34771	63824
1058	34807	63796
1059	34839	63763
1060	34873	63731
1061	34908	63702
1062	34938	63664
1063	34969	63629
1064	35002	63596
1065	35032	63557
1066	35064	63524
1067	35108	63510
1068	35156	63504
1069	35257	63594
1070	35348	63666
1071	35401	63670
1072	35457	63677
1073	35494	63652
1074	35532	63627
1075	35569	63601
1076	35599	63563
1077	35631	63527
1078	35662	63492
1079	35690	63449
1080	35714	63400
1081	35742	63359
1082	35766	63310
1083	35796	63270
1084	35821	63224
1085	35848	63181
1086	35873	63134
1087	35899	63088
1088	35928	63047
1089	35958	63010
1090	35985	62966
1091	36021	62938
1092	36056	62908
1093	36088	62874
1094	36122	62842
1095	36157	62814
1096	36193	62786
1097	36236	62770
1098	36267	62734
1099	36302	62703
1100	36343	62685
1101	36398	62689
1102	36433	62660
1103	36462	62619
1104	36493	62584
1105	36555	62600
1106	36592	62574
1107	36626	62542
1108	36658	62508
1109	36696	62483
1110	36731	62453
1111	36769	62429
1112	36813	62414
1113	36853	62393
1114	36890	62366
1115	36923	62332
1116	36962	62310
1117	37002	62288
1118	37034	62253
